"ConstituentID","DisplayName","ArtistBio","Nationality","Gender","BeginDate","EndDate","Wiki QID","ULAN"
"34872","Mao Kawaguchi","Japanese, born 1951","Japanese","Male","1951","0","",""
"4651","Philip Platt","American","American","Male","0","0","",""
"5479","Charles Smith","American, 1893–1987","American","Male","1893","1987","",""
"9972","Hemco Plastics Div. of Bryant Electrical Co., Bridgeport, CT","","American","","0","0","",""
"4996","Rogi André (Rozsa Klein)","Hungarian, 1905–1970","Hungarian","Female","1905","1970","",""
"3014","Eiichiro Katayama","Nationality unknown","","","0","0","",""
"719","Frank Bowling","Guyanese, born 1934","Guyanese","Male","1934","0","",""
"47815","Pavement","USA, est. 1989","","","0","0","",""
"778","Serge Brignoni","Swiss, 1903–2002","Swiss","Male","1903","2002","",""
"74554","Ulla von Brandenburg","German, born 1974","German","","1974","0","",""
"24573","Sasha Stone","American, born Russia. 1895–1940","American","Male","1895","1940","",""
"4511","Robert Partin","American, born 1927","American","Male","1927","0","",""
"7988","Mathias Ungers","German, 1926–2007","German","Male","1926","2007","",""
"23865","Marko Epshtein","","","Male","0","0","",""
"3035","Jerry Kearns","American, born 1943","American","Male","1943","0","",""
"2926","Lester F. Johnson","American, 1919–2010","American","Male","1919","2010","Q6531887","500028168.0"
"28616","Lori Ellison","American, born 1958","American","Female","1958","0","",""
"32360","David O. Russell","American, born 1958","American","Male","1958","0","",""
"32280","Jim Jarmusch","American, born 1953","American","Male","1953","0","",""
"28778","Clare Rojas","American, born 1976","American","Female","1976","0","",""
"31057","Ernst Strouhal","","","Male","0","0","",""
"3962","Duane Michals","American, born 1932","American","Male","1932","0","Q931923","500053930.0"
"1237","John Coplans","British, 1920–2003","British","Male","1920","2003","Q3181269","500115559.0"
"46881","Dave Dyment","","","","0","0","",""
"5556","Elizabeth Sparhawk-Jones","American, 1885–1971","American","Female","1885","1971","",""
"5781","Shinkichi G. Tajiri","American, 1923–2009","American","Male","1923","2009","Q471243","500029677.0"
"69897","James Guitet","French, born 1925","French","Male","1925","0","",""
"2185","Glanzman-Parker","American, 1952–1970","American","","1952","1970","",""
"7500","Raymond Pettibon","American, born 1957","American","Male","1957","0","Q564945","500115615.0"
"8548","Susan Harris/The New York Times","American, born 1954","American","Female","1954","0","",""
"1229","Lia Cook","American, born 1942","American","Female","1942","0","",""
"814","Byron Browne","American, 1907–1961","American","Male","1907","1961","",""
"46584","Leo Fender","American, 1909–1991","American","Male","1909","1991","",""
"3039","Kein","American","American","","0","0","",""
"7558","Elia Zenghelis","British, born Greece 1937","British","Male","1937","0","Q1658487","500112396.0"
"107","Pierre Alechinsky","Belgian, born 1927","Belgian","Male","1927","0","Q328248","500027985.0"
"609","Hyman Bloom","American, born Latvia. 1913–2009","American","Male","1913","2009","Q11105744","500022094.0"
"7813","Clements","American","American","Male","0","0","",""
"6167","René Vincent","Haitian, born 1911","Haitian","Male","1911","0","",""
"13325","N. Nekrasov","","","","0","0","",""
"2165","Wilhelm Gimmi","Swiss, 1886–1960","Swiss","Male","1886","1960","",""
"24184","Various Unknown Artists","","","","0","0","",""
"6576","Alfred Karl Zlevor","Austrian, born 1942","Austrian","Male","1942","0","",""
"32885","Ron Galella","American, born 1931","American","Male","1931","0","",""
"1556","Juan Carlos Distéfano","Argentine, born 1933","Argentine","Male","1933","0","",""
"6771","Vladimir Akulinin","Nationality unknown","Nationality unknown","Male","0","0","",""
"8287","Lisa Ruyter","American, born 1968","American","Female","1968","0","",""
"232","Conrad Atkinson","British, born 1940","British","Male","1940","0","",""
"6682","Jeanne Jacquemin","French, 1863–1938","French","Female","1863","1938","",""
"45790","Reginald Daniels","","","Male","0","0","",""
"646","Roger Bolomey","American, born 1918","American","Male","1918","0","",""
"3535","Georges Liautaud","Haitian, 1899–1991","Haitian","Male","1899","1991","",""
"43692","George ""Ed"" Logg","American, born 1948","American","Male","1948","0","",""
"37857","Dmitrij Naumovich Babichenko","Russian, 1901–1991","Russian","Male","1901","1991","",""
"2601","Henri (Paul Herrmann) Héran","German, 1864–1940","German","Male","1864","1940","",""
"42283","James McCaffry","American, born Canada. 1954–2011","American","Male","1954","2011","",""
"6838","Fred","American, born 1956","American","","1956","0","",""
"4013","Victor Mira","Spanish, born 1949","Spanish","Male","1949","0","",""
"50001","Carlos González Bogen","Venezuelan, 1920–1992","Venezuelan","Male","1920","1992","",""
"24598","Paul Parker","American","American","Male","0","0","",""
"47911","Philipp Schaerer","Swiss, born 1972","Swiss","Male","1972","0","",""
"6662","G. de Latenay","French, 1859–1943","French","Male","1859","1943","",""
"47653","Lunk","","","","0","0","",""
"5989","Jack Tworkov","American, born Poland. 1900–1982","American","Male","1900","1982","Q320821","500009670.0"
"10829","Friedrich Herder A.G., Solingen, Germany","","","","0","0","",""
"34941","Carlota Schoolman","","","Female","0","0","",""
"2644","Rowland Hilder","British, born 1905","British","Male","1905","0","",""
"27662","Vitra GmbH","Germany","German","","0","0","",""
"7660","Christer Strömholm","Swedish, 1918–2002","Swedish","Male","1918","2002","Q555498","500090742.0"
"24503","Oleksandr Dovgal'","","","Male","0","0","",""
"4268","Walter Von Nessen","American, 1889–1943","American","Male","1889","1943","",""
"5182","C. R. Savage","American, born England. 1832–1909","American","Male","1832","1909","Q11723097","500005101.0"
"2761","John Hultberg","American, 1922–2005","American","Male","1922","2005","Q16016476","500030565.0"
"4195","Donia Nachshen","British","British","Female","0","0","",""
"41224","Lucien Hervé","Hungarian, 1910–2007","Hungarian","Male","1910","2007","",""
"5748","Peter Svannäs","Swedish","Swedish","Male","0","0","",""
"41033","Yuya Ushida","Japanese, born 1975","Japanese","Male","1975","0","",""
"470","G. A. Beneker","American, 1882–1934","American","Male","1882","1934","",""
"1864","Gianfranco Ferroni","Italian","Italian","Male","0","0","",""
"75704","Jonathan Demme","American, 1944–2017","American","Male","1944","2017","",""
"7890","Ce Roser","American, born 1930","American","Female","1930","0","",""
"3935","Carlos Mérida","Guatemalan, 1891–1984","Guatemalan","Male","1891","1984","Q1043100","500004593.0"
"42734","Matthias Müller","German, born 1961","German","Male","1961","0","",""
"6151","Constance Brenner Vieira Da Cunha","American, born 1943","American","Female","1943","0","",""
"2770","John Hunter","American, born 1934","American","Male","1934","0","",""
"1143","Gisela Clemens","German","German","Female","0","0","",""
"22587","Rane Vaskivuori","Finnish, born 1967","Finnish","","1967","0","",""
"34837","Diane Bonder","American, 1960–2006","American","Female","1960","2006","",""
"168","Neil Anderson","American, born 1933","American","Male","1933","0","",""
"8514","Rene Portocarrero","Cuban, 1914–1985","Cuban","Male","1914","1985","Q928187","500118218.0"
"391","Otto Baumberger","Swiss, 1889–1961","Swiss","Male","1889","1961","Q121025",""
"26194","Bauhaus Furniture Workshop, Dessau, Germany","","","","0","0","",""
"2981","Vasily Kandinsky","French, born Russia. 1866–1944","French","Male","1866","1944","Q61064","500021093.0"
"27034","Leo Gerstenzang","American, born Poland","American","Male","0","0","",""
"5668","James Stirling","British, born Scotland 1926–1992","British","Male","1926","1992","Q159619","500013910.0"
"993","Leonora Carrington","British, 1917–2011","British","Female","1917","2011","Q233207","500018196.0"
"36946","Hi Red Center","Japanese, 1963–1964","","","1963","1964","",""
"24605","Georgii Zimin","Russian, 1900–1985","Russian","Male","1900","1985","",""
"10840","Baccarat, France","","","","0","0","",""
"7090","Emily Carter","American","American","Female","0","0","",""
"753","Claudio Bravo","Chilean, 1936–2011","Chilean","Male","1936","2011","Q491787","500014128.0"
"10602","Carrera International GmbH, Traun, Austria","","","","0","0","",""
"34917","Stuart Sherman","American, 1946–2001","American","Male","1946","2001","",""
"8532","Fehim Demir/Agence France-Presse","Bosnian, born 1959","Bosnian","Male","1959","0","",""
"7609","Steven Holl Architects","American, founded 1976","American","","1976","0","",""
"4276","Joshua Neustein","American, born 1940","American","Male","1940","0","",""
"6668","F.-A Gorquet","French, 1862–1927","French","Male","1862","1927","",""
"24474","Fred Korth","American, born Germany. 1902–1983","American","Male","1902","1983","",""
"27267","MTA New York City Transit Team","USA, est. 1953","American","","1953","0","",""
"7861","Ilkka Laine","Finnish, born 1964","Finnish","Female","1964","0","",""
"1326","Modest Cuixart","Spanish, 1925–2001","Spanish","Male","1925","2001","Q551902","500124388.0"
"1659","Caroline Durieux","American, 1896–1989","American","Female","1896","1989","",""
"32897","William H. Martin","American, 1865–1940","American","Male","1865","1940","",""
"28825","Xenon Straub","American, born 1972","American","Female","1972","0","",""
"5208","Xanti Schawinsky","American, born Switzerland. 1904–1979","American","Male","1904","1979","Q1273062","500005052.0"
"1767","Sorel Etrog","Canadian, born Romania. 1933–2014","Canadian","Male","1933","2014","",""
"6066","Philip Van Aver","American, born 1939","American","Male","1939","0","",""
"5035","Rossmann","Nationality unknown","Nationality unknown","","0","0","",""
"49962","Jurij Princes","born 1933","","","1933","0","",""
"8451","Dieter Rams","German, born 1932","German","Male","1932","0","Q76427","500046720.0"
"1197","Ithell Colquhoun","British, 1906–1988","British","Female","1906","1988","Q439844","500031141.0"
"1594","Nell Dorr","American, 1893–1988","American","Female","1893","1988","",""
"32364","Bill Sherwood","American, 1952–1990","American","Male","1952","1990","Q862442",""
"4661","Anne Poirier","French, born 1942","French","Female","1942","0","Q17399229","500019252.0"
"1471","Lucio Del Pezzo","Italian, born 1933","Italian","Male","1933","0","Q3838854","500018437.0"
"74152","Maria Bri-Bein","Russian, 1892–1968","Russian","Female","1892","1968","",""
"6828","Joan Nelsen","American, born 1937","American","Female","1937","0","",""
"6523","Thomas Young","American, born 1924","American","Male","1924","0","",""
"24214","Tat'iana Mavrina","","","Female","0","0","",""
"49713","K8 Hardy","American, born 1977","American","Female","1977","0","",""
"10489","Metalcraft Studio, Konrad König, Munich","","","","0","0","",""
"36932","Jean-Charles Langlois","French, 1789–1870","French","Male","1789","1870","Q3164668","500032275.0"
"24584","Gertrude LeRoy Brown","American, c. 1870–1934","American","Female","1870","1934","",""
"36548","Rosa Loy","German, born 1958","German","Female","1958","0","",""
"8510","Dominique Berretty/Black Star Publishing Co.","French, 1925–1980","French","Female","1925","1980","",""
"49954","Biro 71","founded 1971","","","1971","0","",""
"43277","Richard Maxfield","American, 1927–1969","American","Male","1927","1969","",""
"23473","David Shterenberg","","","Male","0","0","",""
"8647","Tzarskoe Selo C.E. de Hahn & Co.","","","","0","0","",""
"28843","Jean-Luc Verna","French, born 1966","French","Male","1966","0","",""
"35426","Patty Chang","American, born 1972","American","Female","1972","0","Q7148699","500333613.0"
"5172","Ado Sato","Japanese, 1936–1994","Japanese","Male","1936","1994","",""
"4090","Maud Morgan","American, 1903–1999","American","Female","1903","1999","Q16014458","500037780.0"
"37017","Salvo (Salvatore Mangione)","Italian, 1947–2015","Italian","Male","1947","2015","",""
"4766","Gertrude Quastler","American, born Austria. 1909–1963","American","Female","1909","1963","",""
"1865","Ferry's Art Gallery","American","American","","0","0","",""
"11060","Cooper Canada Ltd., Toronto","","","","0","0","",""
"8344","Coort von Mannstein","German, born 1937","German","Male","1937","0","",""
"33760","Vuyile Voyiya","South African, born 1961","South African","Male","1961","0","",""
"10459","Atelier Vitreon, North Haven, CT","","","","0","0","",""
"47761","The Sets","","","","0","0","",""
"6845","Curtis Van Buren","American, born 1950","American","Male","1950","0","",""
"24477","Jiří Lehovec","Czech, 1909–1995","Czech","Male","1909","1995","",""
"6058","James Valentine","British, 1815–1880","British","Male","1815","1880","",""
"48791","Lucienne Day","British, 1917–2010","British","Female","1917","2010","",""
"7410","Miguel Angel Ríos","Argentine, born 1943","Argentine","Male","1943","0","",""
"42740","Marcelo Martin","","","","0","0","",""
"85","Aarne Aho","Finnish, 1904–1978","Finnish","Male","1904","1978","",""
"8097","Eve Andrée Laramée","American, born 1956","American","Female","1956","0","",""
"23895","Georgii Noskov","","","Male","0","0","",""
"5658","Louis Stettner","American, 1922–2016","American","Male","1922","2016","",""
"27052","Tetra Pak Research Laboratories","founded 1951","","","1951","0","",""
"33112","Tomáš Gabzdil Libertíny","Slovak, born 1979","Slovak","Male","1979","0","",""
"6947","Peter Moser","","","Male","0","0","",""
"39470","Ron Gilad","Israeli, born 1972","Israeli","Male","1972","0","",""
"1054","Lynn Chadwick","British, 1914–2003","British","Male","1914","2003","Q706335","500029409.0"
"4293","Ben Nicholson","British, 1894–1982","British","Male","1894","1982","Q281637","500005137.0"
"1170","Sue Coe","British and American, born 1951","British","Female","1951","0","Q7634046","500005739.0"
"35582","Nelson Henricks","Canadian, born 1963","Canadian","Male","1963","0","",""
"67340","M. Henry Jones","American, born 1957","American","Male","1957","0","",""
"37092","Blondie","USA, est. 1975","","","1975","0","",""
"5049","H. D. Rothschild","American, born 1907","American","Male","1907","0","",""
"36727","Karl Jacob Hirsch","German, 1892–1952","German","Male","1892","1952","",""
"31330","Ellen Moffat","","","Female","0","0","",""
"3919","John Melin","Swedish, born 1921","Swedish","Male","1921","0","",""
"6736","Ralph M. Rosenborg","American, 1913–1992","American","Male","1913","1992","",""
"1731","Engel-Pak","Belgian, 1885–1965","Belgian","Male","1885","1965","",""
"3096","Tchah-Sup Kim","Korean, born 1942","Korean","Male","1942","0","",""
"38017","Martha Wilson","American, born 1947","American","Female","1947","0","",""
"45954","Tom Wedell","American, born 1949","American","Male","1949","0","",""
"47805","David Peel & The Lower East Side","USA, est. 1967","","","0","0","",""
"27863","MAK, Vienna","","","","0","0","",""
"2885","Angela Jansen","American, born 1929","American","Female","1929","0","",""
"41447","Nobodycorp Internationale Unlimited","","","","0","0","",""
"6603","Jan Vercruysse","Belgian, 1948-2018","Belgian","Male","1948","2018","Q3439450","500101096.0"
"39898","Robert Rotifer","Austrian, born 1969","Austrian","Male","1969","0","",""
"9206","S.M. Hexter Company","","","","0","0","",""
