ObjectID,Title,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
52762,Ansel Adams at 683 Brockhurst,[6078],1933,Gelatin silver print,"9 5/16 × 7 1/4"" (23.6 × 18.4 cm)",Gift of the artist,407.1977,Photograph,Photography,1977-10-13,Y,http://www.moma.org/collection/works/52762,,,,23.6,,,18.4,,
66652,Judgement of Paris (Urteils des Paris) from Classical Legends (Antike Legenden),[1243],1919,One from a portfolio of twelve drypoints with one additional drypoint (variant of plate 1),"plate: 9 7/16 x 14"" (23.9 x 35.6 cm); sheet: 15 7/8 x 23 3/4"" (40.3 x 60.3 cm)",Gift of J.B. Neumann,310.1956,Print,Drawings & Prints,1956-10-25,Y,http://www.moma.org/collection/works/66652,,,,23.9,,,35.6,,
185299,Imaginary Beings (Medusa 2),"[46441, 33046]",2012,3D printed multicolored Vero acrylic polymer,"12 1/2 × 11 × 7 1/2"" (31.8 × 27.9 × 19.1 cm)",Committee on Architecture and Design Funds,760.2014.5,Design,Architecture & Design,2014-10-06,Y,http://www.moma.org/collection/works/185299,,19.0500381,,31.7500635,,,27.94005588,,
6841,"Polperro, Cornwall - Everywhere You Go You Can Be Sure of Shell",[3978],1933,Lithograph,"30 x 45"" (76.2 x 114.3cm)",Gift of Shell - Mex B P,397.1937,Design,Architecture & Design,1937-11-22,Y,http://www.moma.org/collection/works/6841,,,,76.2,,,114.3,,
193229,"IIT Library and Administration Building, Chicago, IL (Interior perspective of library entrance lobby)",[7166],1944,Pencil on paper,"6 x 12 1/2"" (15.2 x 31.8 cm)","Mies van der Rohe Archive, gift of the architect
",MR4404.134,Mies van der Rohe Archive,Architecture & Design,,N,,,,,15.24003048,,,31.7500635,,
61316,"Untitled, plate 10 of 14, from the portfolio, Autobiographical Series",[710],1994,Drypoint and aquatint,"plate: 10 7/8 x 8 7/16"" (27.7 x 21.4 cm); sheet: 22 7/16 x 15 1/16"" (57 x 38.2 cm)",Gift of the artist,74.1997.10,Print,Drawings & Prints,1997-03-06,Y,http://www.moma.org/collection/works/61316,,,,27.7,,,21.4,,
106527,"Day Bed. Day Bed Frame. (Perspective sketches, elevation sketches)",[7166],1930,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)","Mies van der Rohe Archive, gift of the architect",799.1974,Mies van der Rohe Archive,Architecture & Design,1974-11-06,Y,http://www.moma.org/collection/works/106527,,,,21.1138,,,29.6863,,
3195,Kick Table,[3119],1983,"Enameled steel, lacquered wood, and rubber","16 1/16 x 17 9/16 x 19 7/8"" (40.8 x 44.6 x 50.5 cm)",Gift of the manufacturer,288.1984,Design,Architecture & Design,1984-10-30,Y,http://www.moma.org/collection/works/3195,,50.4826,,40.7988,,,44.6,,
164776,Untitled from an untitled portfolio,[3717],1969,One from a portfolio of 38 screenprints,"composition: 17 3/4 × 16 9/16"" (45.1 × 42.1 cm); sheet: 26 1/16 × 18 9/16"" (66.2 × 47.1 cm)",Gift of Alfredo Boulton,303.1972.28,Print,Drawings & Prints,1972-10-05,Y,http://www.moma.org/collection/works/164776,,,,45.1,,,42.1,,
189243,Two Torsos,[7630],1977,Oil on canvas,"42 x 36"" (106.7 x 91.4 cm)",Gift of Dorothy C. Hudgins in memory of William R. Hudgins,250.2015,Painting,Painting & Sculpture,2015-03-10,Y,http://www.moma.org/collection/works/189243,,0,,106.6802134,,,91.44018288,,
76627,SMOG BALLADE,[6274],1964,"Lithograph, printed in color","irreg composition  13 9/16 x 21 7/8"" (34.5 x 55.5 cm)
sheet  15 x 22 1/4"" (38.2 x 56.6 cm)","Gift of Kleiner, Bell & Co.",1383.1967,Print,Drawings & Prints,1969-12-04,N,,,,,34.5,,,55.5,,
198685,Bernhard Leitner letterhead,[17332],1970,Letterpress,"11 × 8 1/2"" (27.9 × 21.6 cm)","Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds",1231.2015,Design,Architecture & Design,2015-10-19,Y,http://www.moma.org/collection/works/198685,,,,27.94005588,,,21.59004318,,
18947,Plate (page 83) from LES CONQUÉRANTS,[3821],1948,"Lift ground aquatint, printed in color","plate  10 9/16 x 7 1/2"" (26.8 x 19 cm)",Gift of Mr. and Mrs. Ralph F. Colin,581.1966.14,Illustrated Book,Drawings & Prints,1966-11-03,N,,,,,26.8,,,19,,
156107,"Patti Smith, Radio Ethiopia",[6021],1976,Lithograph,"31 1/4 x 24"" (79.4 x 61 cm)",Gift of Lawrence Benenson,187.2012,Design,Architecture & Design,2012-02-09,Y,http://www.moma.org/collection/works/156107,,,,79.37515875,,,60.96012192,,
62148,"Two Faces, One Nude (Study) (Deux visages, un nu (essai de pointe))",[3832],1929,Etching with chine collé,"plate: 5 x 7 1/16"" (12.7 x 17.9cm); sheet: 11 x 14 15/16"" (28 x 38cm)",Stephen C. Clark Fund,119.1951,Print,Drawings & Prints,1951-01-30,Y,http://www.moma.org/collection/works/62148,,,,12.7,,,17.9,,
21473,In-text plate (page 53) from Daphnis et Chloé,[665],1902,One from an illustrated book with 156 lithographs (including wrapper front),"composition (irreg.): 5 15/16 × 5 1/2"" (15.1 × 14 cm); page (each): 11 7/16 × 9 3/8"" (29 × 23.8 cm)",The Louis E. Stern Collection,685.1964.31,Illustrated Book,Drawings & Prints,1964-10-06,Y,http://www.moma.org/collection/works/21473,,,,15.1,,,14,,
137530,Innperseqs-Diagram,[35796],1966,"Colored pencil, ballpoint pen, and typewriting on paper","sheet: 10 15/16 x 8 7/16"" (27.8 x 21.5 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3065.2008,Drawing,Drawings & Prints,2008-10-08,Y,http://www.moma.org/collection/works/137530,,0,,0,,,0,,
215880,Independence/Nakba,[49682],2013,Pigmented inkjet print,"16 × 14"" (40.6 × 35.6 cm)",Acquired through the generosity of Jane P. Watkins,357.2016.8,Photograph,Photography,2016-05-19,N,,,35.56007112,,0,,,40.64008128,,
10637,Tailpiece (page 40) from DESCRIPTION D'UN COMBAT,[235],1945,,"irreg. composition  2 13/16 x 3 1/8"" (7.1 x 8 cm)",Curt Valentin Bequest,38.1956.6,Illustrated Book,Drawings & Prints,1956-03-19,N,,,,,7.1,,,8,,
