"ObjectID","Title","ConstituentID","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","URL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"106770","Álvaro Barrios: Apropiaciones y Grabados Populares","[26617]","2006","Exhibition catalogue with one loose editioned print","overall: 11 x 8 7/16"" (27.9 x 21.5 cm)","Gift of the artist","93.2007.1-2","Illustrated Book","Drawings & Prints","2007-03-07","N","","","","","27.9","","","21.5","",""
"128881","Centrosoyuz, 39 Miansnitskaya St., Moscow, Russia, Le Corbusier, Pierre Jeanneret, and Nikolai Kolli Architects, 1929-36","[4496]","1999","Pigmented inkjet print","48 3/8 × 61 3/16"" (122.9 × 155.4 cm)","Acquired through the generosity of Elise Jaffe and Jeffrey Brown","553.2009","Photograph","Photography","2009-05-11","N","","","","","122.8727457","","","155.4165608","",""
"172385","SEI ACQUAFORTI ORIGINALI","[5972]","-1959","Portfolio of 6 color etchings and a table of contents with miniatures of the etchings","","Abby Aldrich Rockefeller Fund","43.1965.6","Print","Drawings & Prints","1965-01-12","N","","","","","","","","","",""
"99343","Popular Print (Grabado popular)","[26617]","1975","Photolithograph","sheet (folded): 10 5/8 x 17 1/8"" (27 x 43.5 cm); sheet (unfolded): 10 5/8 x 34 1/4"" (27 x 87 cm)","Gift of the artist","510.2005","Print","Drawings & Prints","2005-06-02","Y","http://www.moma.org/collection/works/99343","","","","27.0","","","43.5","",""
"99339","Popular Print","[26617]","1977","Line block","Sheet: 11 x 17 15/16"" (28 x 44 cm)","Gift of the artist","514.2005","Print","Drawings & Prints","2005-06-02","Y","http://www.moma.org/collection/works/99339","","","","28.0","","","44.0","",""
"80198","1944-N No. 2","[5665]","1944","Oil on canvas","8' 8 1/4"" x 7' 3 1/4"" (264.5 x 221.4 cm)","The Sidney and Harriet Janis Collection","655.1967","Painting","Painting & Sculpture","1967-10-18","Y","http://www.moma.org/collection/works/80198","","","","264.5","","","221.4","",""
"168078","Voice","[35538]","1962","Iron and sack cloth","47 1/4 x 43 11/16 x 20 1/16"" (120 x 111 x 51 cm)","Gift of Ronald O. Perelman","552.2013","Sculpture","Painting & Sculpture","2013-05-20","Y","http://www.moma.org/collection/works/168078","","51.0","","120.0","","","111.0","",""
"16534","Plate (folio 10) from JEUX DE TRAMES","[5625]","1962","","irreg. composition  13 1/4 x 9 5/8"" (33.6 x 24.5 cm)","Gift of The Contemporaries, Inc.","387.1962.3","Illustrated Book","Drawings & Prints","1962-12-11","N","","","","","33.6","","","24.5","",""
"60096","Fashion Moda Benefit Portfolio","[6105, 4745, 4696, 2223, 3224, 1294, 1344]","1985","Portfolio of seven prints","","Purchase","19.1986.1-7","Print","Drawings & Prints","1986-01-09","N","","","","","","","","","",""
"126069","Untitled Popular Print for The Village Voice","[26617]","2008","Offset on newsprint","composition: 4 13/16 x 8 1/16"" (12.2 x 20.4 cm); sheet (folded): 12 x 10 3/8"" (30.5 x 26.3 cm)","Anonymous gift","2.2009.x1-x2","Print","Drawings & Prints","2009-01-13","Y","http://www.moma.org/collection/works/126069","","","","12.2","","","20.4","",""
