type;id;currency_salary;salary_from;salary_to
permanent;intelligints-senior-cybersecurity-engineer;usd;6500;7500
permanent;intelligints-cybersecurity-pentester-and-enthusiast;usd;5000;7000
b2b;cloudtalk-backend-software-developer-go;pln;19000;38000
b2b;cloudtalk-backend-software-developer-node-js;pln;19000;38000
b2b;jirav-remote-sr-staff-fe-engineer-angular-3a72be16-f667-471f-8d92-ba6f8fe17d4b;pln;23000;29000
b2b;jirav-remote-senior-devops-engineer-warszawa;pln;27000;30000
permanent;climate-x-postgresql-sql-db-developer-climate;pln;20000;30000
permanent;bitfinex-senior-backend-developer-node-remote;eur;5000;10000
b2b;cavendish-professionals-senior-java-engineer;pln;23000;30800
permanent;bitfinex-blockchain-integration-specialist;eur;5000;10000
b2b;cavendish-professionals-senior-cloud-devops-engineer;pln;23000;30800
b2b;first-line-software-net-cms-developer-optimizely-episerver;pln;20000;32000
b2b;multis-javascript-fullstack-developer;usd;4700;6250
b2b;meilisearch-fullstack-software-engineer;eur;5000;5417
b2b;bloomreach-mid-python-engineer-go-data-security;pln;18000;26000
permanent;aily-labs-team-lead-frontend-developer;eur;5800;8300
b2b;proof-it-senior-system-analyst;pln;18000;25000
b2b;codilime-devops-engineer-ci-cd-virtualization;pln;18000;28000
b2b;spoc-s-a-software-tester-automation;pln;8000;12000
permanent;spoc-s-a-software-tester-automation;pln;6700;10000
permanent;citi-junior-java-developer;pln;7500;14400
b2b;stepwise-node-js-developer;pln;20000;27000
b2b;stonex-poland-software-engineer-in-test-regular;;;
permanent;stonex-poland-software-engineer-in-test-regular;;;
b2b;syzygy-agile-coach;pln;14000;20000
permanent;syzygy-agile-coach;pln;11500;16500
b2b;islandsbanki-senior-net-developer;pln;18000;24000
b2b;sollers-consulting-sp-z-o-o-fullstack-developer-warszawa;pln;11800;17900
permanent;sollers-consulting-sp-z-o-o-fullstack-developer-warszawa;pln;9700;15798
b2b;nocowanie-pl-web-analyst-analityk-internetowy;;;
permanent;nocowanie-pl-web-analyst-analityk-internetowy;;;
b2b;divante-s-a-remote-javascript-developer;pln;10920;18480
permanent;divante-s-a-remote-javascript-developer;pln;9000;15300
permanent;beneering-junior-backend-developer;pln;4000;6000
b2b;sollers-consulting-sp-z-o-o-junior-c-net-developer;pln;7700;11800
permanent;sollers-consulting-sp-z-o-o-junior-c-net-developer;pln;6000;9700
b2b;sollers-consulting-sp-z-o-o-java-developer-acb60765-b1bf-47d0-b704-2982560b6c5b;pln;11800;17900
permanent;sollers-consulting-sp-z-o-o-java-developer-acb60765-b1bf-47d0-b704-2982560b6c5b;pln;9700;15800
b2b;stepwise-it-project-coordinator;pln;10000;12000
